Participants;Checkin;Checkout;Choice;Diet
Participant 1;29/10/2020 14:32;01/11/2020 14:32;SINGLE;vegetarian
Participant 2;29/10/2020 17:00;31/10/2020 17:55;TWIN;vegetarian
Participant 3;30/10/2020 08:32;01/11/2020 14:32;TWIN;vegetarian
Participant 4;30/10/2020 08:32;01/11/2020 17:55;SINGLE;vegetarian
Participant 4;31/10/2020 08:32;01/11/2020 17:55;SINGLE;vegetarian
Participant 1;29/10/2020 14:32;01/11/2020 14:32;SINGLE;vegan
Participant 2;29/10/2020 17:00;31/10/2020 17:55;TWIN;vegan
Participant 3;30/10/2020 08:32;01/11/2020 14:32;TWIN;vegan
Participant 4;30/10/2020 08:32;01/11/2020 17:55;SINGLE;vegan
Participant 4;31/10/2020 08:32;01/11/2020 17:55;SINGLE;vegan
Participant 1;29/10/2020 14:32;01/11/2020 14:32;SINGLE;pescatarian 
Participant 2;29/10/2020 17:00;31/10/2020 17:55;TWIN;pescatarian
Participant 3;30/10/2020 08:32;01/11/2020 14:32;TWIN;pescatarian
Participant 4;30/10/2020 08:32;01/11/2020 17:55;SINGLE;pescatarian
Participant 4;31/10/2020 08:32;01/11/2020 17:55;SINGLE;pescatarian
Participant 1;29/10/2020 14:32;01/11/2020 14:32;SINGLE;Default
Participant 2;29/10/2020 17:00;31/10/2020 17:55;TWIN;Default
Participant 3;30/10/2020 08:32;01/11/2020 14:32;TWIN;Default
Participant 4;30/10/2020 08:32;01/11/2020 17:55;SINGLE;Default
Participant 4;31/10/2020 08:32;01/11/2020 17:55;SINGLE;Default
